,en,en,no,nn-no,zh,th,da
empty,English,British,Norwegian,NyNorsk,Chinese,Thai,Danish
ui.language,Language,Language,Språk,Språk,语,ภาษา,Sprog
ui.myprofile,My Profile,My Profile,Min profil,Min profil,我的档案,โปรไฟล์ของฉัน,Min profil
ui.settings,Settings,Settings,Innstillinger,Innstillinger,设置,การตั้งค่า,Indstillinger
ui.logout,Log Out,Log Out,Logg ut,Logg ut,注销,ออกจากระบบ,Log ud
ui.interests,Categories,Categories,Kategorier,Kategorier,类别,หมวดหมู่,Kategorier
ui.level,Level,Level,Nivå,Nivå,级别,ระดับ,Niveau
ui.search.Category,Category,Category,Kategori,Kategori,类别,ประเภท,Kategori
ui.Hour,hour,hour,time,time,小时,ชั่วโมง,time
ui.Minute,minute,minute,minutt,minutt,分钟,นาที,minut
ui.Stars,Stars,Stars,Stjerner,Stjerner,星星,ดวงดาว,Stjerner
ui.BooksRead,Books read,Books read,Bøker lest,Bøker lest,已阅读的书籍,หนังสือที่อ่าน,Læste bøger
ui.Homeworks,Assignments,Assignments,Lekser,Lekser,作业,ภารกิจรับมอบหมาย,Opgaver
ui.ReadingTime,Reading Time,Reading Time,Lesetid,Lesetid,阅读时间,เวลาอ่านหนังสือ,Læsetid
ui.FavoriteWords,Favorite Words,Favourite Words,Favorittord,Favorittord,最喜欢的词汇,คำที่โปรดปราน,Foretrukne ord
ui.Clicks,Clicks,Clicks,Klikk,Klikk,点击,คลิก,Klik
ui.QUIZStatistics,QUIZ Results,QUIZ Results,QUIZ-statistikk,QUIZ-statistikk,测试结果,ผลทดสอบ,QUIZ-resultater
ui.MyFavoriteBooks,Most read books,Most read books,Mest leste bøker,Mest leste bøker,读得最多的书,หนังสืออ่านมากที่สุด,Mine favoritbøger
ui.homeworks.myHomeworks,My Assignments,My Assignments,Leksene mine,Leksene mine,我的作业,ภารกิจรับมอบหมายของฉัน,Mine opgaver
ui.homeworks.finishedHomeworks,Latest Completed Assignments,Latest Completed Assignments,Siste ferdige lekser,Siste ferdige lekser,最近完成的作业,การบ้านที่เสร็จล่าสุด,Sidst færdige lektier
ui.homeworks.doneHomeworks,Assignments Done,Assignments Done,Utførte lekser,Utførte lekser,作业完成,ภารกิจรับมอบหมายที่เสร็จแล้ว,Fuldførte opgaver
ui.homeworks.spentTime,Time Spent,Time Spent,Tidsbruk,Tidsbruk,所用时间,เวลาที่ใช้,Tidsforbrug
ui.homeworks.sorryNoDone,You still have assignments to do!,You still have assignments to do!,Du har fortsatt oppdrag å gjøre!,Du har fortsatt oppdrag å gjøre!,你还有作业！,คุณยังมีการมอบหมายให้ทำ!,Du har stadig opgaver til at gøre!
ui.homeworks.SorryNoActive,Well done! You have completed all your assignments!,Well done! You have completed all your assignments!,Hurra! Du har ingen uferdige lekser.,Hurra! Du har ingen uferdige lekser.,恭喜您！您完成了所有的作业！,ดีมาก! คุณทำภารกิจที่รับมอบหมายเสร็จหมดแล้ว!,Godt klaret! Du har fuldført alle dine opgaver!
ui.homeworks.TestingMode,Quiz,Quiz,Quiz,Quiz,测试,การทดสอบ,Quiz
ui.homeworks.ReadOnlyMode,Read Only,Read Only,Les selv,Les selv,只读,อ่านเท่านั้น,Læs kun
ui.homework.dateOfCreation,Date of creation,Date of creation,Dato for opprettelse,Dato for opprettelse,创建日期,วันที่สร้าง,Oprettelsesdato
ui.homeworks.noHomeworkYet,You haven’t got any assignments yet ,You haven’t got any assignments yet ,Du har ikke noen oppgaver ennå,Du har ikke noen oppgaver ennå,您還沒有任何作業,คุณยังไม่ได้รับงานใด ๆ,Du har ikke nogen opgaver endnu
ui.homeworks.welcome,"Welcome to Pickatale for Schools! We have created this app especially for you.  
Enjoy reading! ","Welcome to Pickatale for Schools! We have created this app especially for you.  
Enjoy reading! ","Velkommen til Pickatale for Schools! Vi har laget denne appen spesielt for deg.
Liker å lese!","Velkommen til Pickatale for Schools! Vi har laget denne appen spesielt for deg.
Liker å lese!","歡迎來到學校Pickatale！ 我們已經為您創建了這個程序。
享受閱讀！","ยินดีต้อนรับสู่ Pickatale สำหรับโรงเรียน! เราได้สร้างแอพนี้สำหรับคุณโดยเฉพาะ
สนุกกับการอ่าน!","Velkommen til Pickatale for Schools! Vi har oprettet denne app specielt til dig.
Nyd at læse!"
